编号,化合物名称,化学结构,分子式,分子量,CAS号,化合物种类,smiles,inchi,inchikey,,药材
25,leucosceptoside Ａ,,C30H38O15,638.614,83529-62-8,苯丙素,C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](OCCC3=CC(O)=C(O)C=C3)O[C@H](CO)[C@H]2OC(/C=C/C4=CC(O)=C(OC)C=C4)=O)O1,"InChI=1S/C30H38O15/c1-14-23(36)24(37)25(38)30(42-14)45-28-26(39)29(41-10-9-16-3-6-17(32)18(33)11-16)43-21(13-31)27(28)44-22(35)8-5-15-4-7-20(40-2)19(34)12-15/h3-8,11-12,14,21,23-34,36-39H,9-10,13H2,1-2H3/b8-5+/t14-,21+,23-,24+,25+,26+,27+,28+,29+,30-/m0/s1",RMJYDWRKVAGFGZ-CPPDSBOHSA-N,,凌霄花化学成分
26,campneosideⅠ,,C30H38O16,654.62,,苯丙素,C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](OCC(OC)C3=CC(O)=C(O)C=C3)O[C@H](CO)[C@H]2OC(/C=C/C4=CC(O)=C(O)C=C4)=O)O1,"InChI=1S/C30H38O16/c1-13-23(37)24(38)25(39)30(43-13)46-28-26(40)29(42-12-21(41-2)15-5-7-17(33)19(35)10-15)44-20(11-31)27(28)45-22(36)8-4-14-3-6-16(32)18(34)9-14/h3-10,13,20-21,23-35,37-40H,11-12H2,1-2H3/b8-4+/t13-,20+,21?,23-,24+,25+,26+,27+,28+,29+,30-/m0/s1",OWIYIDLFNMCIFO-HGTLEYCVSA-N,,凌霄花化学成分
27,campneosideⅡ,,C29H36O16,640.59,,苯丙素,C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](OCC(O)C3=CC(O)=C(O)C=C3)O[C@H](CO)[C@H]2OC(/C=C/C4=CC(O)=C(O)C=C4)=O)O1,"InChI=1S/C29H36O16/c1-12-22(37)23(38)24(39)29(42-12)45-27-25(40)28(41-11-19(35)14-4-6-16(32)18(34)9-14)43-20(10-30)26(27)44-21(36)7-3-13-2-5-15(31)17(33)8-13/h2-9,12,19-20,22-35,37-40H,10-11H2,1H3/b7-3+/t12-,19?,20+,22-,23+,24+,25+,26+,27+,28+,29-/m0/s1",XDAXWJHQKZRSEY-XHJPSFMXSA-N,,凌霄花化学成分
28,"芹菜素
Apigenin
",,C15H10O5,270.237,520-36-5,黄酮,O=C(C1=C(O)C=C(O)C=C1O2)C=C2C3=CC=C(O)C=C3,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,,凌霄花化学成分
29,"木犀草素
Luteolin
",,C15H10O6,286.236,491-70-3,黄酮,O=C(C1=C(O)C=C(O)C=C1O2)C=C2C3=CC(O)=C(O)C=C3,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,,凌霄花化学成分
30,"槲皮素
Quercetin
",,C15H10O7,302.236,117-39-5,黄酮,O=C(C1=C(O)C=C(O)C=C1O2)C(O)=C2C3=CC(O)=C(O)C=C3,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,,凌霄花化学成分
31,"金圣草(黄)素
Chrysoeriol
",,C16H12O6,300.263,491-71-4,黄酮,COC1=C(O)C=CC(C2=CC(C3=C(O)C=C(O)C=C3O2)=O)=C1,"InChI=1S/C16H12O6/c1-21-14-4-8(2-3-10(14)18)13-7-12(20)16-11(19)5-9(17)6-15(16)22-13/h2-7,17-19H,1H3",SCZVLDHREVKTSH-UHFFFAOYSA-N,,凌霄花化学成分
32,"鼠李柠檬素
Rhamnocitrin
",,C16H12O6,300.263,569-92-6,黄酮,COC1=CC(O)=C2C(OC(C3=CC=C(O)C=C3)=C(O)C2=O)=C1,"InChI=1S/C16H12O6/c1-21-10-6-11(18)13-12(7-10)22-16(15(20)14(13)19)8-2-4-9(17)5-3-8/h2-7,17-18,20H,1H3",MQSZRBPYXNEFHF-UHFFFAOYSA-N,,凌霄花化学成分
33,halleridone,,C8H10O3,154.16,94535-01-0,挥发油,[H]C1(C2)C(CCO1)(O)C=CC2=O,"InChI=1S/C8H10O3/c9-6-1-2-8(10)3-4-11-7(8)5-6/h1-2,7,10H,3-5H2",HSGPAWIMHOPPDA-UHFFFAOYSA-N,,凌霄花化学成分
34,"4-hydroxy-5-methoxy-3,4-
(epoxyethano)-cyclohexanone",,C9H14O4,186.21,,挥发油,[H]C1(C2)C(CCO1)(O)C(OC)CC2=O,"InChI=1S/C9H14O4/c1-12-7-4-6(10)5-8-9(7,11)2-3-13-8/h7-8,11H,2-5H2,1H3",AXEVYKWLKWBVPD-UHFFFAOYSA-N,,凌霄花化学成分
35,"4-hydroxy-4-(2-
hydroxyethyl)-cyclohexanone",,C8H14O3,158.19,107389-91-3,挥发油,O=C1CCC(O)(CCO)CC1,"InChI=1S/C8H14O3/c9-6-5-8(11)3-1-7(10)2-4-8/h9,11H,1-6H2",QLSFMYCHPVOSCD-UHFFFAOYSA-N,,凌霄花化学成分
36,hallerone,,C8H10O3,154.16,,挥发油,O=C1C=CC(O)(CCO)C=C1,"InChI=1S/C8H10O3/c9-6-5-8(11)3-1-7(10)2-4-8/h1-4,9,11H,5-6H2",BJHPVOJGGFOITK-UHFFFAOYSA-N,,凌霄花化学成分
37,campsione,,C15H24O10,364.35,,挥发油,CC(/C=C\C(O)CCOC(C(C(OC)=O)O)OC(CO)C(OC)=O)=O,"InChI=1S/C15H24O10/c1-9(17)4-5-10(18)6-7-24-15(12(19)14(21)23-3)25-11(8-16)13(20)22-2/h4-5,10-12,15-16,18-19H,6-8H2,1-3H3/b5-4-",HHLFEUBUBWMQAA-PLNGDYQASA-N,,凌霄花化学成分
38,campsiketalin,,C9H18O3,174.24,,挥发油,OC1(CCO)CCC(OC)CC1,"InChI=1S/C9H18O3/c1-12-8-2-4-9(11,5-3-8)6-7-10/h8,10-11H,2-7H2,1H3",BICVGLSUVFYOGX-UHFFFAOYSA-N,,凌霄花化学成分
39,cornoside,,C14H20O8,316.3,40661-45-8,挥发油,OC(C=CC1=O)(C=C1)CCO[C@H]2O[C@H]([C@@H]([C@H]([C@@H]2O)O)O)CO,"InChI=1S/C14H20O8/c15-7-9-10(17)11(18)12(19)13(22-9)21-6-5-14(20)3-1-8(16)2-4-14/h1-4,9-13,15,17-20H,5-7H2/t9-,10-,11+,12-,13-/m0/s1",VTVARPTUBCBNJX-WJTVCTBASA-N,,凌霄花化学成分
40,"1,4-dihydroxy-3,4-
 (epoxyethano)-5-cyclohexene",,C8H10O4,170.16,,挥发油,O=C1C=CC(CC(O)O2)(O)C2C1,"InChI=1S/C8H10O4/c9-5-1-2-8(11)4-7(10)12-6(8)3-5/h1-2,6-7,10-11H,3-4H2",YVSIIPPIQKQOMC-UHFFFAOYSA-N,,凌霄花化学成分
41,"花色素苷
Enocyanin
",,C15H11O,207.247,11029-12-2,苯丙素,C1(C2=[O+]C3=CC=CC=C3C=C2)=CC=CC=C1,InChI=1S/C15H11O/c1-2-6-12(7-3-1)15-11-10-13-8-4-5-9-14(13)16-15/h1-11H/q+1,NWKFECICNXDNOQ-UHFFFAOYSA-N,,凌霄花化学成分
42,"矢车菊素-3-芸香糖苷
Cyanidin 3-O-rutinoside
",,C27H31O15,595.526,28338-59-2,苯丙素,C[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](OC[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C5=CC(O)=C(O)C=C5)O2)O1,"InChI=1S/C27H30O15/c1-9-19(32)21(34)23(36)26(39-9)38-8-18-20(33)22(35)24(37)27(42-18)41-17-7-12-14(30)5-11(28)6-16(12)40-25(17)10-2-3-13(29)15(31)4-10/h2-7,9,18-24,26-27,32-37H,8H2,1H3,(H3-,28,29,30,31)/p+1/t9-,18+,19-,20+,21+,22-,23+,24+,26+,27+/m0/s1",USNPULRDBDVJAO-FXCAAIILSA-O,,凌霄花化学成分
43,"辣椒红
capsanthin
",,C40H56O3,584.871,465-42-9,挥发油,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(/C=C/C=C(/C=C/C([C@]2(C)C[C@@H](O)CC2(C)C)=O)C)C)C(C)(C)C[C@H](O)C1,"InChI=1S/C40H56O3/c1-29(17-13-19-31(3)21-23-36-33(5)25-34(41)26-38(36,6)7)15-11-12-16-30(2)18-14-20-32(4)22-24-37(43)40(10)28-35(42)27-39(40,8)9/h11-24,34-35,41-42H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t34-,35+,40+/m1/s1",VYIRVAXUEZSDNC-RDJLEWNRSA-N,,凌霄花化学成分
44,"糠醛
Furfural
",,C5H4O2,96.084,1998/1/1,挥发油,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(/C=C/C=C(/C=C/C([C@]2(C)C[C@@H](O)CC2(C)C)=O)C)C)C(C)(C)C[C@H](O)C1,"InChI=1S/C40H56O3/c1-29(17-13-19-31(3)21-23-36-33(5)25-34(41)26-38(36,6)7)15-11-12-16-30(2)18-14-20-32(4)22-24-37(43)40(10)28-35(42)27-39(40,8)9/h11-24,34-35,41-42H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t34-,35+,40+/m1/s1",VYIRVAXUEZSDNC-RDJLEWNRSA-N,,凌霄花化学成分
45,"5-甲基-2-糠醛
5-Methyl-2-furaldehyde
",,C6H6O2,110.111,620-02-0,挥发油,CC1=CC=C(C=O)O1,"InChI=1S/C6H6O2/c1-5-2-3-6(4-7)8-5/h2-4H,1H3",OUDFNZMQXZILJD-UHFFFAOYSA-N,,凌霄花化学成分
46,"糠醇
Furfuryl alcohol
",,C6H6O2,98.1,98-00-0,挥发油,OCC1=CC=CO1,"InChI=1S/C5H6O2/c6-4-5-2-1-3-7-5/h1-3,6H,4H2",XPFVYQJUAUNWIW-UHFFFAOYSA-N,,凌霄花化学成分
47,"2 －乙酰呋喃
2 － acetylfurfun
",,C6H6O2,110.11,,挥发油,CC(C1=CC=CO1)=O,"InChI=1S/C6H6O2/c1-5(7)6-3-2-4-8-6/h2-4H,1H3",IEMMBWWQXVXBEU-UHFFFAOYSA-N,,凌霄花化学成分
48,"肉桂酸
Cinnamic acid
",,C9H8O2,148.159,621-82-9,酚酸,O=C(O)/C=C/C1=CC=CC=C1,"InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+",WBYWAXJHAXSJNI-VOTSOKGWSA-N,,凌霄花化学成分
49,"对羟基肉桂酸
p-Hydroxy-cinnamic acid
",,C9H8O3,164.158,7400-08-0,酚酸,O=C(O)/C=C/C1=CC=C(O)C=C1,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",NGSWKAQJJWESNS-ZZXKWVIFSA-N,,凌霄花化学成分
50,"咖啡酸
Caffeic acid
",,C9H8O4,180.157,331-39-5,酚酸,O=C(O)/C=C/C1=CC(O)=C(O)C=C1,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",QAIPRVGONGVQAS-DUXPYHPUSA-N,,凌霄花化学成分
51,"原儿茶酸
protocatechuic acid
",,C7H6O4,154.12,99-50-3,酚酸,O=C(O)C1=CC(O)=C(O)C=C1,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,,凌霄花化学成分
52,"3-羟基-4-甲氧基苯甲酸
3-Hydroxy-4-methoxybenzoic acid
",,C8H8O4,168.147,74309-78-7,酚酸,COC1=C(O)C=C(C(O)=O)C=C1,"InChI=1S/C8H8O4/c1-12-7-3-2-5(8(10)11)4-6(7)9/h2-4,9H,1H3,(H,10,11)",LBKFGYZQBSGRHY-UHFFFAOYSA-N,,凌霄花化学成分
53,hentricontanol,,C31H64O,452.839,26444-39-3,脂肪酸,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,"InChI=1S/C31H64O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32/h32H,2-31H2,1H3",ROOBHHSRWJOKSH-UHFFFAOYSA-N,,凌霄花化学成分
54,"十九烷酸
Nonadecylic acid
",,C19H38O2,298.504,646-30-0,脂肪酸,CCCCCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C19H38O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21/h2-18H2,1H3,(H,20,21)",ISYWECDDZWTKFF-UHFFFAOYSA-N,,凌霄花化学成分
55,hexadecanoic acid,,C16H32O2,256.424,66321-94-6,脂肪酸,CCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,,凌霄花化学成分
56,"
15-巯基-2-十五烷酮
15-mercapto-2- pentadecanone
",,C15H30OS,258.46,,脂肪酸,CC(CCCCCCCCCCCCCS)=O,"InChI=1S/C15H30OS/c1-15(16)13-11-9-7-5-3-2-4-6-8-10-12-14-17/h17H,2-14H2,1H3",YUHXREOZKWEMGZ-UHFFFAOYSA-N,,凌霄花化学成分
57,"β-谷甾醇
β-Sitosterol
",,C29H50O,414.707,5779-62-4,甾体,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]3[C@H]2CC=C4[C@]3(C)CC[C@H](O)C4)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N,,凌霄花化学成分
58,"胡萝卜苷
Daucosterol
",,C35H60O6,576.847,474-58-8,甾体,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]3[C@H]2CC=C4[C@]3(C)CC[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O5)C4)C,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22-,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-OFUAXYCQSA-N,,凌霄花化学成分
