编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,结构,,,,
DG-043,,(−)/(+)triangeliphthalides A(1a/1b),/,C38H44O6,596.7640 ,,挥发油,O=C1[C@@]2([C@]3([C@@H]4CCC)C5=C([C@@]([C@]6(OC(C7=C6C=CC=C7)=O)[C@@H]8CCC)(C)[C@@]8(C)CC5)C(O3)=O)[C@]4(CCC=C2)/C(O1)=C/CCC,"InChI=1S/C38H44O6/c1-6-9-18-28-35-20-12-13-21-36(35,32(41)42-28)38(27(35)15-8-3)25-19-22-33(4)26(14-7-2)37(34(33,5)29(25)31(40)44-38)24-17-11-10-16-23(24)30(39)43-37/h10-11,13,16-18,21,26-27H,6-9,12,14-15,19-20,22H2,1-5H3/b28-18-/t26-,27-,33+,34+,35+,36-,37-,38-/m1/s1",AMCHUGFRGHUPEK-IPOXTPCQSA-N,当归
DG-044,,(−)/(+)triangeliphthalides B(2a/2b),/,C38H44O6,596.7640 ,,挥发油,O=C1[C@@]2([C@]3([C@@H]4CCC)C5=C([C@@]([C@@]6(OC(C7=C6C=CC=C7)=O)[C@H]8CCC)(C)[C@@]8(C)CC5)C(O3)=O)[C@]4(CCC=C2)/C(O1)=C/CCC,"InChI=1S/C38H44O6/c1-6-9-18-28-35-20-12-13-21-36(35,32(41)42-28)38(27(35)15-8-3)25-19-22-33(4)26(14-7-2)37(34(33,5)29(25)31(40)44-38)24-17-11-10-16-23(24)30(39)43-37/h10-11,13,16-18,21,26-27H,6-9,12,14-15,19-20,22H2,1-5H3/b28-18-/t26-,27+,33-,34-,35-,36+,37-,38+/m0/s1",AMCHUGFRGHUPEK-ZGJWGVQZSA-N,当归
DG-045,,(−)/(+)triangeliphthalides C(3a/3b),/,C38H40O6,568.7100 ,,挥发油,CCC[C@@H]1[C@]2([C@@]3([C@H]1CCC)C4=C(C([C@]5(OC(C6=C5C=CC=C6)=O)[C@@H]7CCC)C7CC4)C(O3)=O)C8=C(C(O2)=O)C=CCC8,"InChI=1S/C36H40O6/c1-4-11-23-20-18-19-28-29(30(20)34(23)24-16-9-7-14-21(24)31(37)40-34)33(39)42-36(28)27(13-6-3)26(12-5-2)35(36)25-17-10-8-15-22(25)32(38)41-35/h7-9,14-16,20,23,26-27,30H,4-6,10-13,17-19H2,1-3H3/t20?,23-,26+,27+,30?,34+,35+,36-/m1/s1",FADCCTGEIOCEEV-OSIMIMRBSA-N,当归
DG-046,,(−)/(+)triangeliphthalides D(4a/4b),/,C36H38O6,566.6940 ,,挥发油,CCC[C@@H]1[C@]2([C@@]3([C@H]1CCC)C4=C(C([C@]5(OC(C6=C5C=CC=C6)=O)[C@@H]7CCC)C7CC4)C(O3)=O)C8=C(C(O2)=O)C=CC=C8,"InChI=1S/C36H38O6/c1-4-11-23-20-18-19-28-29(30(20)34(23)24-16-9-7-14-21(24)31(37)40-34)33(39)42-36(28)27(13-6-3)26(12-5-2)35(36)25-17-10-8-15-22(25)32(38)41-35/h7-10,14-17,20,23,26-27,30H,4-6,11-13,18-19H2,1-3H3/t20?,23-,26+,27+,30?,34+,35+,36-/m1/s1",YLIBWGCCFNNNAA-OSIMIMRBSA-N,当归
DG-047,6-甲氧基香豆素, 6-methoxycoumarin,17372-53-1,C10H8O3,176.1710 ,,香豆素,COC1=CC=C(OC(C=C2)=O)C2=C1,"InChI=1S/C10H8O3/c1-12-8-3-4-9-7(6-8)2-5-10(11)13-9/h2-6H,1H3",VKVCJIMMVPXDQD-UHFFFAOYSA-N,当归
DG-048,五加苷B1,eleutheroside B1,16845-16-2,C17H20O10,384.3370 ,,香豆素,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1OC2=C(OC)C=C3C(OC(C=C3)=O)=C2OC,"InChI=1S/C17H20O10/c1-23-8-5-7-3-4-10(19)26-14(7)16(24-2)15(8)27-17-13(22)12(21)11(20)9(6-18)25-17/h3-5,9,11-13,17-18,20-22H,6H2,1-2H3/t9-,11-,12+,13-,17+/m1/s1",IKUQEFGEUOOPGY-QSDFBURQSA-N,当归
DG-049,厚朴酚,magnolol,528-43-8,C18H18O2,266.3400 ,,苯丙素,C=CCC1=CC(C2=C(O)C=CC(CC=C)=C2)=C(O)C=C1,"InChI=1S/C18H18O2/c1-3-5-13-7-9-17(19)15(11-13)16-12-14(6-4-2)8-10-18(16)20/h3-4,7-12,19-20H,1-2,5-6H2",VVOAZFWZEDHOOU-UHFFFAOYSA-N,当归
DG-050,云归香豆素A,6-hydroxy-3-(4-hydroxyphenyl)-7-methyl-coumarin,/,C16H12O4,268.2680 ,,黄酮类,O=C1OC2=CC(C)=C(O)C=C2C=C1C3=CC=C(O)C=C3,"InChI=1S/C16H12O4/c1-9-6-15-11(8-14(9)18)7-13(16(19)20-15)10-2-4-12(17)5-3-10/h2-8,17-18H,1H3",OLZZVWPBCRJTAP-UHFFFAOYSA-N,当归
DG-051,(E)-2-甲氧基-4-(3-甲氧丙烯基)苯酚,(E)-2-methoxy-4-(3-carbooxypropenyl)phenol,/,C11H14O3,194.2300 ,,苯丙素,OC1=CC=C(/C=C/COC)C=C1OC,"InChI=1S/C11H14O3/c1-13-7-3-4-9-5-6-10(12)11(8-9)14-2/h3-6,8,12H,7H2,1-2H3/b4-3+",SBENKNZHVXGNTP-ONEGZZNKSA-N,当归
DG-052,,"(1S)-2-O-Z-feruloyl-1-(4-hydroxyphenyl)ethane-1,2-diol",/,C18H18O6,330.3360 ,,苯丙素,O=C(OC[C@@H](O)C1=CC=C(O)C=C1)/C=C\C2=CC(OC)=C(O)C=C2,"InChI=1S/C18H18O6/c1-23-17-10-12(2-8-15(17)20)3-9-18(22)24-11-16(21)13-4-6-14(19)7-5-13/h2-10,16,19-21H,11H2,1H3/b9-3-/t16-/m1/s1",CLQSQZGNPFWGAE-QXQYKPFFSA-N,当归
DG-053,,(+)/(−)-angelignanine,/,C20H20O6,356.3740 ,,酚酸,OC1=CC(C(C2=CC=C(O)C(OC)=C2)CCC(C(O)=O)=C3)=C3C=C1OC,"InChI=1S/C20H20O6/c1-25-18-8-11(4-6-16(18)21)14-5-3-12(20(23)24)7-13-9-19(26-2)17(22)10-15(13)14/h4,6-10,14,21-22H,3,5H2,1-2H3,(H,23,24)",RJHRUJHBTHYNQX-UHFFFAOYSA-N,当归
DG-054,d-苏式愈创木甘油8-O-β-吡喃葡萄糖苷,d-threo-guaiacylglycerol 8-O-β-glucopyranoside,/,C17H26O9,374.3860 ,,糖苷类,O[C@@H]1[C@@H](CO)C[C@@H](O[C@H](CO)[C@H](O)C2=CC(OC)=C(O)C=C2)[C@H](O)[C@H]1O,"InChI=1S/C17H26O9/c1-25-11-4-8(2-3-10(11)20)14(21)13(7-19)26-12-5-9(6-18)15(22)17(24)16(12)23/h2-4,9,12-24H,5-7H2,1H3/t9-,12-,13-,14-,15-,16+,17+/m1/s1",UEYDORVZWNXURC-AODFDATNSA-N,当归
DG-055,愈创木基丙三醇,guaiacylglycerol,1208-42-0,C10H14O5,214.2170 ,,苯丙素,O[C@@H]([C@@H](O)CO)C1=CC=C(O)C(OC)=C1,"InChI=1S/C10H14O5/c1-15-9-4-6(2-3-7(9)12)10(14)8(13)5-11/h2-4,8,10-14H,5H2,1H3/t8-,10+/m0/s1",LSKFUSLVUZISST-WCBMZHEXSA-N,当归
DG-056,E-松柏苷,E-coniferin,531-29-3,C16H22O8,342.3440 ,,苯丙素,OC/C=C/C1=CC=C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C(OC)=C1,"InChI=1S/C16H22O8/c1-22-11-7-9(3-2-6-17)4-5-10(11)23-16-15(21)14(20)13(19)12(8-18)24-16/h2-5,7,12-21H,6,8H2,1H3/b3-2+/t12-,13-,14+,15-,16-/m1/s1",SFLMUHDGSQZDOW-FAOXUISGSA-N,当归
DG-057,,angeliferulate,/,C21H24O8,404.4150 ,,苯丙素,O=C(OCC(C(C1=CC(OC)=C(O)C=C1)OC)O)/C=C/C2=CC=C(O)C(OC)=C2,"InChI=1S/C21H24O8/c1-26-18-10-13(4-7-15(18)22)5-9-20(25)29-12-17(24)21(28-3)14-6-8-16(23)19(11-14)27-2/h4-11,17,21-24H,12H2,1-3H3/b9-5+",IYGJNXKQEYRFJG-WEVVVXLNSA-N,当归
DG-058,5-咖啡酰奎尼铵盐,5-caffeoylquinic ammonium salt,/,C16H21N09,371.3420 ,,苯丙素,OC1=CC=C(/C=C/C(O[C@H]2[C@@H](O)[C@H](O)C[C@](O)(C([O-])=O)C2)=O)C=C1O.[NH4+],"InChI=1S/C16H18O9.H3N/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21;/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23);1H3/b4-2+;/t11-,12-,14+,16-;/m1./s1",UWZUKCOQPHMOFY-QTHODGBFSA-N,当归
DG-059,马鞭草烯酮-5-O-β-d-葡萄糖苷,verbenone-5-O-β-d-glucopyranoside,/,C16H24O7,328.3610 ,,糖苷类,O[C@@H]1[C@@H](CO)O[C@@H](OC2(C3(C)C)CC3C(C=C2C)=O)[C@H](O)[C@H]1O,"InChI=1S/C16H24O7/c1-7-4-9(18)8-5-16(7,15(8,2)3)23-14-13(21)12(20)11(19)10(6-17)22-14/h4,8,10-14,17,19-21H,5-6H2,1-3H3/t8?,10-,11-,12+,13-,14+,16?/m1/s1",PDHCNSSWSKXMDC-LCAPFYFTSA-N,当归
DG-060,,"6β,9-dihydroxy-(+)-α-pinene",/,C10H16O2,168.2360 ,,单萜,CC1=CC[C@@H]2[C@@H](O)[C@H]1[C@](C)2CO,"InChI=1S/C10H16O2/c1-6-3-4-7-9(12)8(6)10(7,2)5-11/h3,7-9,11-12H,4-5H2,1-2H3/t7-,8+,9-,10+/m1/s1",AMJFEVFUZKDIQK-RGOKHQFPSA-N,当归
DG-061,,9-hydroxy-(+)-α-pinene-6β-O-d-glucoside,/,C16H26O7,330.3770 ,,单萜,CC([C@@H]1[C@@]2(C)CO)=CC[C@@H]2[C@H]1O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O,"InChI=1S/C16H26O7/c1-7-3-4-8-14(10(7)16(8,2)6-18)23-15-13(21)12(20)11(19)9(5-17)22-15/h3,8-15,17-21H,4-6H2,1-2H3/t8-,9-,10+,11-,12+,13-,14-,15+,16+/m1/s1",GVAOBWBTWPWGMW-RXJURZSLSA-N,当归
DG-062,"24, 24-二甲基-9,19-环羊毛烷-3-β-醇","24,24-dimethyl-9,19-cyclolanostan-3-β-ol",/,C32H56O,456.7990 ,,甾体,CC1(C)[C@@H](O)CC[C@@]2(C)[C@@]1([H])CC[C@]3([H])[C@@]2(C)CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])C(C)(C)CCC(C(C)C)=C,"InChI=1S/C32H56O/c1-21(2)22(3)15-17-28(4,5)25-13-11-23-24-12-14-26-29(6,7)27(33)16-18-32(26,10)31(24,9)20-19-30(23,25)8/h21,23-27,33H,3,11-20H2,1-2,4-10H3/t23-,24-,25+,26-,27-,30-,31+,32-/m0/s1",MYZJIDRTDKWEBH-ZYLUXOABSA-N,当归
DG-063,N-丁基苯磺酰胺,N-butylbenzenesulfonamide,3622-84-2,C10H15NO2S,213.2950 ,,生物碱,O=S(C1=CC=CC=C1)(NCCCC)=O,"InChI=1S/C10H15NO2S/c1-2-3-9-11-14(12,13)10-7-5-4-6-8-10/h4-8,11H,2-3,9H2,1H3",IPRJXAGUEGOFGG-UHFFFAOYSA-N,当归
DG-064,尿囊素,allantoin,97-59-6,C4H6N4O3,158.1770 ,,生物碱,O=C(C(NC(N)=O)N1)NC1=O,"InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)",POJWUDADGALRAB-UHFFFAOYSA-N,当归
DG-065,哈尔满碱,harman,486-84-0,C12H10N2,182.2260 ,,生物碱,CC1=NC=CC2=C1NC3=C2C=CC=C3,"InChI=1S/C12H10N2/c1-8-12-10(6-7-13-8)9-4-2-3-5-11(9)14-12/h2-7,14H,1H3",PSFDQSOCUJVVGF-UHFFFAOYSA-N,当归
DG-066,1-乙酰基-β-咔啉,1-acetyl-β-carboline,50892-83-6,C13H10N2O,210.2360 ,,生物碱,CC(C1=NC=CC2=C1NC3=C2C=CC=C3)=O,"InChI=1S/C13H10N2O/c1-8(16)12-13-10(6-7-14-12)9-4-2-3-5-11(9)15-13/h2-7,15H,1H3",NXZSUJKPVSDFNF-UHFFFAOYSA-N,当归
DG-067,巴内加素,banegasine,/,C11H12N2O2,204.2290 ,,生物碱,NC1=CC=CC=C1C2=CNC(C(O)=O)C2,"InChI=1S/C11H12N2O2/c12-9-4-2-1-3-8(9)7-5-10(11(14)15)13-6-7/h1-4,6,10,13H,5,12H2,(H,14,15)",KPYXDIVTPWLGHB-UHFFFAOYSA-N,当归
DG-068,,angelicamide A,/,C42H81NO4,664.1130 ,,生物碱,[H][C@]1(CCC/C=C/CCCCCCCCC)[C@@]([H])(O)[C@@]([H])(N(C([C@@](O)([H])CCCCCCCCCCCCCCCCCCCCCC)=O)[H])CO1,"InChI=1S/C42H81NO4/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-25-27-29-31-33-35-39(44)42(46)43-38-37-47-40(41(38)45)36-34-32-30-28-26-16-14-12-10-8-6-4-2/h28,30,38-41,44-45H,3-27,29,31-37H2,1-2H3,(H,43,46)/b30-28+/t38-,39+,40-,41-/m0/s1",HBOIUFIPZWWIEY-UKLLXMLZSA-N,当归
DG-069,,angelicamide B,/,C34H67NO5,569.9120 ,,生物碱,O=C(N[C@@H](CO)[C@H](O)[C@H](O)CC/C=C/CCCCCCCCCC)[C@@H](O)CCCCCCCCCCCCCC,"InChI=1S/C34H67NO5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-31(37)33(39)30(29-36)35-34(40)32(38)28-26-24-22-20-18-16-14-12-10-8-6-4-2/h21,23,30-33,36-39H,3-20,22,24-29H2,1-2H3,(H,35,40)/b23-21+/t30-,31+,32-,33-/m0/s1",HIMAOQJJMNAYIH-XIZFATRHSA-N,当归
DG-070,β-腺苷,β-adenosine,58-61-7,C10H13N5O4,267.2450 ,,生物碱,O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1N2C3=NC=NC(N)=C3N=C2,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",OIRDTQYFTABQOQ-KQYNXXCUSA-N,当归
DG-071,次黄苷,hypoxanthine-9-β-d-ribofuranoside,/,C10H12N4O5,268.2290 ,,生物碱,OC1=C2C(N([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C=N2)=NC=N1,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",UGQMRVRMYYASKQ-KQYNXXCUSA-N,当归
DG-072,"3R, 8S-法卡林二醇","3R,8S-falcarindiol",225110-25-8,C17H24O2,260.3770 ,,挥发油,C=C[C@H](O)C#CC#C[C@@H](O)/C=C\CCCCCCC,"InChI=1S/C17H24O2/c1-3-5-6-7-8-9-10-14-17(19)15-12-11-13-16(18)4-2/h4,10,14,16-19H,2-3,5-9H2,1H3/b14-10-/t16-,17-/m0/s1",QWCNQXNAFCBLLV-RCQSYPNMSA-N,当归
DG-073,"11S, 16R-二羟基十八烷-9Z, 17-二烯-12,14-二炔-1-乙酸酯","11S,16R-dihydroxyoctadeca-9Z,17-dien-12,14-diynoic-1-yl acetate",/,C20H26O5,346.4230 ,,挥发油,O[C@H](C#CC#C[C@H](O)C=C)/C=C/CCCCCCCC(OC(C)=O)=O,"InChI=1S/C20H26O5/c1-3-18(22)13-11-12-15-19(23)14-9-7-5-4-6-8-10-16-20(24)25-17(2)21/h3,9,14,18-19,22-23H,1,4-8,10,16H2,2H3/b14-9+/t18-,19+/m1/s1",VBSFNLTXMGJZMI-DUKJBESISA-N,当归
DG-074,,"polyyne8-hydroxy-1-methoxy-(Z)-9-heptadecene-4,6-diyn-3-one",/,C18H26O3,290.4030 ,,挥发油,OC(C#CC#CC(CCOC)=O)/C=C/CCCCCCC,"InChI=1S/C18H26O3/c1-3-4-5-6-7-8-9-12-17(19)13-10-11-14-18(20)15-16-21-2/h9,12,17,19H,3-8,15-16H2,1-2H3/b12-9+",FJWBUWYAOLZOKU-FMIVXFBMSA-N,当归
DG-075,d-甘露醇,d-mannitol,69-65-8,C6H14O6,182.1720 ,,其他,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1",FBPFZTCFMRRESA-KVTDHHQDSA-N,当归
DG-076,5-乙酰氧甲基糠醛,5-acetoxymethylfuraldehyde,/,C8H8O4,168.1480 ,,其他,CC1=C(C=O)OC(OC(C)=O)=C1,"InChI=1S/C8H8O4/c1-5-3-8(11-6(2)10)12-7(5)4-9/h3-4H,1-2H3",CPMDDIHNBAKHDM-UHFFFAOYSA-N,当归
DG-077,麦芽糖,maltose,69-79-4,C12H22O11,342.2970 ,,糖苷类,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11-,12?/m1/s1",GUBGYTABKSRVRQ-YAOKBAGFSA-N,当归
DG-078,"1S-（4'-羟基苯基）-1, 2-乙二醇","1S-(4'-hydroxyphenyl)-1,2-ethanediol",/,C8H10O3,154.1650 ,,酚酸,OC1=CC=C([C@H](CO)O)C=C1,"InChI=1S/C8H10O3/c9-5-8(11)6-1-3-7(10)4-2-6/h1-4,8-11H,5H2/t8-/m0/s1",VYRWCSXMABWFDW-QMMMGPOBSA-N,当归
DG-079,4-（2-羟基-1-甲氧乙基）-苯酚,4-(2-hydroxy-1-methoxyethyl) phenol,/,C9H12O3,168.1920 ,,酚酸,OCC(OC)C1=CC=C(O)C=C1,"InChI=1S/C9H12O3/c1-12-9(6-10)7-2-4-8(11)5-3-7/h2-5,9-11H,6H2,1H3",UHDDGONMYAQWBV-UHFFFAOYSA-N,当归
DG-080,4-（2-羟基-1-乙氧乙基）-苯酚,4-(2-hydroxy-1-ethoxyethyl) phenol,/,C10H14O3,182.1290 ,,酚酸,OCC(OCC)C1=CC=C(O)C=C1,"InChI=1S/C10H14O3/c1-2-13-10(7-11)8-3-5-9(12)6-4-8/h3-6,10-12H,2,7H2,1H3",CNXHWMGGFYJBAY-UHFFFAOYSA-N,当归
DG-081,2-甲氧基-2-（4'-羟基苯基）乙醇,2-methoxy-2-(4'-hydroxyphenyl) ethanol,/,C9H12O3,168.1920 ,,酚酸,OC1=CC=C(C(CO)OC)C=C1,"InChI=1S/C9H12O3/c1-12-9(6-10)7-2-4-8(11)5-3-7/h2-5,9-11H,6H2,1H3",UHDDGONMYAQWBV-UHFFFAOYSA-N,当归
DG-082,（-）-（S）-1-（4-羟基- 3-甲氧基苯基）-乙基甲基醚,(-)-(S)-1-(4-hydroxy-3-methoxyphenyl) -ethyl methyl ether,/,C10H14O3,182.2190 ,,酚酸,OC1=C(OC)C=CC(C([H])COC)=C1,"InChI=1S/C10H14O3/c1-12-6-5-8-3-4-10(13-2)9(11)7-8/h3-4,7,11H,5-6H2,1-2H3","InChI=1S/C10H14O3/c1-12-6-5-8-3-4-10(13-2)9(11)7-8/h3-4,7,11H,5-6H2,1-2H3",当归
DG-083,"2,5-二羟基苯甲酸甲酯","methyl 2,5-dihydroxy- benzoate",151391-92-3,C10H14O3,182.1290 ,,酚酸,OC1=CC(C(OC)=O)=C(O)C=C1,"InChI=1S/C8H8O4/c1-12-8(11)6-4-5(9)2-3-7(6)10/h2-4,9-10H,1H3",XGDPKUKRQHHZTH-UHFFFAOYSA-N,当归
DG-084,"2, 3, 6-三甲基苯甲酸","2,3,6-trimethylbenzoic acid",2529-36-4,C10H12O2,164.2040 ,,酚酸,O=C(O)C1=C(C)C=CC(C)=C1C,"InChI=1S/C10H12O2/c1-6-4-5-7(2)9(8(6)3)10(11)12/h4-5H,1-3H3,(H,11,12)",JRUKSSBDIZXQDX-UHFFFAOYSA-N,当归
DG-085,淫羊藿次苷F2,icariside F2,115009-57-9,C18H26O10,402.3960 ,,糖苷类,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO[C@@H]2[C@@H](O)[C@@](CO)(O)CO2)O[C@H]1OCC3=CC=CC=C3,"InChI=1S/C18H26O10/c19-8-18(24)9-27-17(15(18)23)26-7-11-12(20)13(21)14(22)16(28-11)25-6-10-4-2-1-3-5-10/h1-5,11-17,19-24H,6-9H2/t11-,12-,13+,14-,15-,16-,17+,18+/m1/s1",NJMQSVWMCODQIP-OKOXNFRXSA-N,当归
DG-086,菠菜甾醇,α-spinasterol,/,C29H48O,412.7020 ,,甾体,CC[C@H](/C=C/[C@@H](C)[C@@H]1[C@]2(C)[C@](CC1)([H])C3=CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC2)C(C)C,"InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h8-9,11,19-23,25-27,30H,7,10,12-18H2,1-6H3/b9-8+/t20-,21-,22+,23+,25-,26+,27+,28+,29-/m1/s1",JZVFJDZBLUFKCA-FXIAWGAOSA-N,当归
DG-087,金丝桃苷,hyperoside,482-36-0,C21H20O12,464.3970 ,,黄酮类,OC1=CC(OC(C2=CC=C(O)C(O)=C2)=C(O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O3)C4=O)=C4C(O)=C1,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15+,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-DTGCRPNFSA-N,当归
DG-088,2 "-O-（2"'-甲基丁酰基)）异当药黄素,2"-O-(2"'-methylbutyryl)-isoswertisin,/,C27H30O11,530.5260 ,,黄酮类,OC1=CC=C(C(OC2=C([C@H]3[C@H](OC(C(C)CC)=O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C(OC)=CC(O)=C42)=CC4=O)C=C1,"InChI=1S/C27H30O11/c1-4-12(2)27(34)38-26-23(33)22(32)19(11-28)37-25(26)21-18(35-3)10-16(31)20-15(30)9-17(36-24(20)21)13-5-7-14(29)8-6-13/h5-10,12,19,22-23,25-26,28-29,31-33H,4,11H2,1-3H3/t12?,19-,22-,23+,25+,26-/m1/s1",NMPAISVEPHNOCP-XYQODNNLSA-N,当归
DG-089,阿魏酸,ferulic acid,C10H10O4,194.1860 ,1135-24-6,,苯丙素,O=C(/C=C/C1=CC=C(C(OC)=C1)O)O,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",KSEBMYQBYZTDHS-HWKANZROSA-N,当归
DG-090, 正丁基苯酞,Butylphthalide,C12H14O2,190.2420 ,6066-49-5,,挥发油,O=C1OC(CCCC)C2=C1C=CC=C2,"InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h4-7,11H,2-3,8H2,1H3",HJXMNVQARNZTEE-UHFFFAOYSA-N,当归
DG-091,紫花前胡素,Decursin,C19H20O5,328.3640 ,5928-25-6,,香豆素,C/C(C)=C\C(OC1CC2=C(OC1(C)C)C=C3C(C=CC(O3)=O)=C2)=O,"InChI=1S/C19H20O5/c1-11(2)7-18(21)23-16-9-13-8-12-5-6-17(20)22-14(12)10-15(13)24-19(16,3)4/h5-8,10,16H,9H2,1-4H3",CUKSFECWKQBVED-UHFFFAOYSA-N,当归
